Crop_Recommended,Soil_Health_Score,Soil_Health_Class,Nutrient_Deficiencies,Soil_Fertility_Status,Crop_Recommended_enc,Soil_Health_Class_enc,Nutrient_Deficiencies_enc,Soil_Fertility_Status_enc
Tomato,73.86,Good,Potassium,Moderately Fertile,8,1,7,2
Sugarcane,79.16,Good,Phosphorus,Moderately Fertile,7,1,5,2
Soybean,78.29,Good,None,Fertile,6,1,4,0
Potato,72.05,Good,Potassium,Moderately Fertile,4,1,7,2
Groundnut,73.22,Good,"Phosphorus, Potassium",Infertile,1,1,6,1
Wheat,94.25,Excellent,None,Fertile,9,0,4,0
Soybean,79.04,Good,Potassium,Moderately Fertile,6,1,7,2
Cotton,79.51,Good,Phosphorus,Moderately Fertile,0,1,5,2
Soybean,83.23,Excellent,Phosphorus,Moderately Fertile,6,0,5,2
Rice,81.86,Excellent,None,Fertile,5,0,4,0
Maize,69.58,Good,Phosphorus,Moderately Fertile,3,1,5,2
Soybean,73.63,Good,Potassium,Moderately Fertile,6,1,7,2
Tomato,66.24,Good,Nitrogen,Moderately Fertile,8,1,0,2
Sugarcane,68.1,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Jute,84.1,Excellent,None,Fertile,2,0,4,0
Jute,84.67,Excellent,None,Fertile,2,0,4,0
Jute,80.36,Excellent,None,Fertile,2,0,4,0
Groundnut,57.31,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Groundnut,56.39,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Jute,84.78,Excellent,None,Fertile,2,0,4,0
Maize,77.62,Good,None,Fertile,3,1,4,0
Jute,77.3,Good,None,Fertile,2,1,4,0
Cotton,91.78,Excellent,None,Fertile,0,0,4,0
Maize,90.92,Excellent,None,Fertile,3,0,4,0
Soybean,76.82,Good,Phosphorus,Moderately Fertile,6,1,5,2
Maize,80.64,Excellent,Nitrogen,Moderately Fertile,3,0,0,2
Groundnut,48.99625000000002,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,1,2,2,1
Jute,79.84,Good,Potassium,Moderately Fertile,2,1,7,2
Rice,73.47,Good,Potassium,Moderately Fertile,5,1,7,2
Wheat,88.18,Excellent,None,Fertile,9,0,4,0
Jute,80.67,Excellent,Potassium,Moderately Fertile,2,0,7,2
Sugarcane,79.09,Good,None,Fertile,7,1,4,0
Rice,66.44,Good,Phosphorus,Moderately Fertile,5,1,5,2
Soybean,69.46,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Tomato,70.39,Good,Phosphorus,Moderately Fertile,8,1,5,2
Jute,92.03,Excellent,None,Fertile,2,0,4,0
Cotton,85.72,Excellent,None,Fertile,0,0,4,0
Sugarcane,86.68,Excellent,Phosphorus,Moderately Fertile,7,0,5,2
Sugarcane,73.6,Good,Potassium,Moderately Fertile,7,1,7,2
Tomato,74.59,Good,Phosphorus,Moderately Fertile,8,1,5,2
Wheat,77.1,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Jute,79.7,Good,None,Fertile,2,1,4,0
Tomato,75.18,Good,Potassium,Moderately Fertile,8,1,7,2
Maize,80.96,Excellent,Potassium,Moderately Fertile,3,0,7,2
Rice,66.63,Good,"Nitrogen, Potassium",Infertile,5,1,3,1
Sugarcane,89.35,Excellent,None,Fertile,7,0,4,0
Jute,73.02,Good,Potassium,Moderately Fertile,2,1,7,2
Maize,86.43,Excellent,None,Fertile,3,0,4,0
Jute,81.65,Excellent,None,Fertile,2,0,4,0
Sugarcane,84.03,Excellent,None,Fertile,7,0,4,0
Sugarcane,64.41,Good,"Nitrogen, Potassium",Infertile,7,1,3,1
Soybean,83.98,Excellent,None,Fertile,6,0,4,0
Maize,79.87,Good,None,Fertile,3,1,4,0
Soybean,71.12,Good,Phosphorus,Moderately Fertile,6,1,5,2
Jute,66.21,Good,"Nitrogen, Potassium",Infertile,2,1,3,1
Cotton,72.95,Good,Phosphorus,Moderately Fertile,0,1,5,2
Tomato,82.76,Excellent,Potassium,Moderately Fertile,8,0,7,2
Tomato,61.35,Good,"Nitrogen, Phosphorus",Infertile,8,1,1,1
Jute,67.28,Good,Potassium,Moderately Fertile,2,1,7,2
Cotton,83.75,Excellent,None,Fertile,0,0,4,0
Soybean,78.28,Good,None,Fertile,6,1,4,0
Potato,80.4,Excellent,None,Fertile,4,0,4,0
Potato,77.76,Good,Potassium,Moderately Fertile,4,1,7,2
Maize,81.19,Excellent,None,Fertile,3,0,4,0
Sugarcane,88.1,Excellent,None,Fertile,7,0,4,0
Tomato,72.29,Good,Phosphorus,Moderately Fertile,8,1,5,2
Cotton,93.45,Excellent,None,Fertile,0,0,4,0
Soybean,78.04,Good,Potassium,Moderately Fertile,6,1,7,2
Wheat,61.03,Good,"Nitrogen, Phosphorus",Infertile,9,1,1,1
Groundnut,77.18,Good,None,Fertile,1,1,4,0
Groundnut,58.22,Moderate,"Phosphorus, Potassium",Infertile,1,2,6,1
Soybean,58.97,Moderate,"Nitrogen, Phosphorus",Infertile,6,2,1,1
Rice,73.43,Good,Phosphorus,Moderately Fertile,5,1,5,2
Cotton,84.81,Excellent,None,Fertile,0,0,4,0
Jute,82.84,Excellent,None,Fertile,2,0,4,0
Wheat,78.11,Good,Potassium,Moderately Fertile,9,1,7,2
Sugarcane,88.62,Excellent,None,Fertile,7,0,4,0
Groundnut,67.39,Good,Phosphorus,Moderately Fertile,1,1,5,2
Groundnut,66.44,Good,"Phosphorus, Potassium",Infertile,1,1,6,1
Wheat,98.45,Excellent,None,Fertile,9,0,4,0
Groundnut,59.13,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Maize,89.19,Excellent,None,Fertile,3,0,4,0
Cotton,66.79,Good,"Phosphorus, Potassium",Infertile,0,1,6,1
Maize,80.55,Excellent,None,Fertile,3,0,4,0
Rice,86.34,Excellent,None,Fertile,5,0,4,0
Rice,80.51,Excellent,None,Fertile,5,0,4,0
Soybean,74.18,Good,Potassium,Moderately Fertile,6,1,7,2
Maize,81.01,Excellent,Phosphorus,Moderately Fertile,3,0,5,2
Cotton,96.0,Excellent,None,Fertile,0,0,4,0
Maize,82.32,Excellent,None,Fertile,3,0,4,0
Maize,80.57,Excellent,None,Fertile,3,0,4,0
Maize,66.51,Good,"Nitrogen, Potassium",Infertile,3,1,3,1
Maize,83.31,Excellent,None,Fertile,3,0,4,0
Tomato,82.9,Excellent,None,Fertile,8,0,4,0
Maize,78.77,Good,None,Fertile,3,1,4,0
Rice,76.18,Good,Nitrogen,Moderately Fertile,5,1,0,2
Soybean,80.37,Excellent,None,Fertile,6,0,4,0
Potato,90.2,Excellent,None,Fertile,4,0,4,0
Rice,85.1,Excellent,None,Fertile,5,0,4,0
Wheat,88.13,Excellent,None,Fertile,9,0,4,0
Cotton,79.94,Good,Phosphorus,Moderately Fertile,0,1,5,2
Groundnut,65.98,Good,"Phosphorus, Potassium",Infertile,1,1,6,1
Groundnut,72.04,Good,Potassium,Moderately Fertile,1,1,7,2
Tomato,82.57,Excellent,None,Fertile,8,0,4,0
Wheat,85.42,Excellent,None,Fertile,9,0,4,0
Wheat,83.9,Excellent,None,Fertile,9,0,4,0
Rice,83.47,Excellent,None,Fertile,5,0,4,0
Groundnut,74.19,Good,Potassium,Moderately Fertile,1,1,7,2
Potato,77.91,Good,None,Fertile,4,1,4,0
Sugarcane,63.9,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Rice,73.45,Good,"Phosphorus, Potassium",Infertile,5,1,6,1
Soybean,89.25,Excellent,None,Fertile,6,0,4,0
Maize,79.18,Good,None,Fertile,3,1,4,0
Soybean,79.16,Good,Phosphorus,Moderately Fertile,6,1,5,2
Rice,96.01,Excellent,None,Fertile,5,0,4,0
Wheat,70.62,Good,Nitrogen,Moderately Fertile,9,1,0,2
Groundnut,72.14,Good,Potassium,Moderately Fertile,1,1,7,2
Maize,68.53,Good,Phosphorus,Moderately Fertile,3,1,5,2
Maize,81.32,Excellent,Potassium,Moderately Fertile,3,0,7,2
Potato,87.54,Excellent,None,Fertile,4,0,4,0
Groundnut,59.07,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Soybean,84.84,Excellent,None,Fertile,6,0,4,0
Jute,65.57,Good,Phosphorus,Moderately Fertile,2,1,5,2
Soybean,82.47,Excellent,None,Fertile,6,0,4,0
Cotton,85.85,Excellent,None,Fertile,0,0,4,0
Tomato,55.12,Moderate,Phosphorus,Moderately Fertile,8,2,5,2
Soybean,92.25,Excellent,None,Fertile,6,0,4,0
Tomato,75.62,Good,Potassium,Moderately Fertile,8,1,7,2
Cotton,95.71,Excellent,None,Fertile,0,0,4,0
Maize,80.7,Excellent,Phosphorus,Moderately Fertile,3,0,5,2
Sugarcane,89.75,Excellent,None,Fertile,7,0,4,0
Groundnut,63.71,Good,"Phosphorus, Potassium",Infertile,1,1,6,1
Rice,75.18,Good,Potassium,Moderately Fertile,5,1,7,2
Maize,83.67,Excellent,None,Fertile,3,0,4,0
Potato,82.52,Excellent,Potassium,Moderately Fertile,4,0,7,2
Cotton,59.35,Moderate,"Phosphorus, Potassium",Infertile,0,2,6,1
Potato,84.82,Excellent,Potassium,Moderately Fertile,4,0,7,2
Wheat,77.08,Good,Potassium,Moderately Fertile,9,1,7,2
Tomato,63.32,Good,"Nitrogen, Potassium",Infertile,8,1,3,1
Wheat,92.79,Excellent,None,Fertile,9,0,4,0
Soybean,72.38,Good,Potassium,Moderately Fertile,6,1,7,2
Jute,53.76,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,2,2,2,1
Jute,73.15,Good,Phosphorus,Moderately Fertile,2,1,5,2
Tomato,86.2,Excellent,None,Fertile,8,0,4,0
Wheat,72.88,Good,Phosphorus,Moderately Fertile,9,1,5,2
Cotton,92.93,Excellent,None,Fertile,0,0,4,0
Maize,85.23,Excellent,None,Fertile,3,0,4,0
Soybean,75.6,Good,Potassium,Moderately Fertile,6,1,7,2
Potato,62.67,Good,"Nitrogen, Phosphorus",Infertile,4,1,1,1
Potato,85.16,Excellent,None,Fertile,4,0,4,0
Jute,92.98,Excellent,None,Fertile,2,0,4,0
Tomato,77.67,Good,None,Fertile,8,1,4,0
Jute,87.65,Excellent,None,Fertile,2,0,4,0
Cotton,95.0,Excellent,None,Fertile,0,0,4,0
Maize,76.86,Good,Potassium,Moderately Fertile,3,1,7,2
Potato,66.31,Good,Nitrogen,Moderately Fertile,4,1,0,2
Sugarcane,73.85,Good,Potassium,Moderately Fertile,7,1,7,2
Soybean,69.16,Good,Nitrogen,Moderately Fertile,6,1,0,2
Cotton,82.48,Excellent,None,Fertile,0,0,4,0
Rice,76.46,Good,Potassium,Moderately Fertile,5,1,7,2
Cotton,84.62,Excellent,None,Fertile,0,0,4,0
Groundnut,58.05,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Potato,61.98,Good,"Phosphorus, Potassium",Infertile,4,1,6,1
Soybean,85.7,Excellent,None,Fertile,6,0,4,0
Cotton,78.37,Good,"Phosphorus, Potassium",Infertile,0,1,6,1
Rice,76.17,Good,Potassium,Moderately Fertile,5,1,7,2
Wheat,75.95,Good,Potassium,Moderately Fertile,9,1,7,2
Wheat,72.68,Good,Potassium,Moderately Fertile,9,1,7,2
Sugarcane,91.8,Excellent,None,Fertile,7,0,4,0
Soybean,79.84,Good,None,Fertile,6,1,4,0
Sugarcane,78.44,Good,Potassium,Moderately Fertile,7,1,7,2
Groundnut,61.85,Good,"Nitrogen, Phosphorus",Infertile,1,1,1,1
Potato,64.32,Good,Nitrogen,Moderately Fertile,4,1,0,2
Soybean,61.59,Good,"Nitrogen, Potassium",Infertile,6,1,3,1
Cotton,64.84,Good,Nitrogen,Moderately Fertile,0,1,0,2
Potato,72.46,Good,Phosphorus,Moderately Fertile,4,1,5,2
Cotton,86.79,Excellent,Potassium,Moderately Fertile,0,0,7,2
Sugarcane,72.62,Good,Phosphorus,Moderately Fertile,7,1,5,2
Cotton,84.47,Excellent,None,Fertile,0,0,4,0
Jute,64.91,Good,"Nitrogen, Potassium",Infertile,2,1,3,1
Rice,84.84,Excellent,Potassium,Moderately Fertile,5,0,7,2
Soybean,88.39,Excellent,None,Fertile,6,0,4,0
Rice,82.42,Excellent,None,Fertile,5,0,4,0
Wheat,85.15,Excellent,Potassium,Moderately Fertile,9,0,7,2
Rice,62.53,Good,"Nitrogen, Phosphorus",Infertile,5,1,1,1
Soybean,77.44,Good,Phosphorus,Moderately Fertile,6,1,5,2
Jute,68.54,Good,Phosphorus,Moderately Fertile,2,1,5,2
Maize,94.2,Excellent,None,Fertile,3,0,4,0
Wheat,80.64,Excellent,None,Fertile,9,0,4,0
Cotton,85.05,Excellent,None,Fertile,0,0,4,0
Soybean,80.79,Excellent,Potassium,Moderately Fertile,6,0,7,2
Soybean,75.45,Good,Phosphorus,Moderately Fertile,6,1,5,2
Rice,72.09,Good,Phosphorus,Moderately Fertile,5,1,5,2
Tomato,78.05,Good,Nitrogen,Moderately Fertile,8,1,0,2
Jute,72.33,Good,Phosphorus,Moderately Fertile,2,1,5,2
Rice,76.1,Good,Potassium,Moderately Fertile,5,1,7,2
Sugarcane,70.94,Good,Nitrogen,Moderately Fertile,7,1,0,2
Wheat,76.86,Good,Potassium,Moderately Fertile,9,1,7,2
Potato,75.78,Good,Phosphorus,Moderately Fertile,4,1,5,2
Soybean,76.97,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Maize,91.42,Excellent,None,Fertile,3,0,4,0
Groundnut,55.71,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Soybean,67.18,Good,"Nitrogen, Potassium",Infertile,6,1,3,1
Maize,69.51,Good,Potassium,Moderately Fertile,3,1,7,2
Tomato,70.96,Good,"Nitrogen, Potassium",Infertile,8,1,3,1
Cotton,83.04,Excellent,None,Fertile,0,0,4,0
Rice,89.67,Excellent,None,Fertile,5,0,4,0
Tomato,78.15,Good,Potassium,Moderately Fertile,8,1,7,2
Groundnut,83.42,Excellent,None,Fertile,1,0,4,0
Potato,52.12,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,4,2,2,1
Sugarcane,88.6,Excellent,None,Fertile,7,0,4,0
Potato,89.77,Excellent,None,Fertile,4,0,4,0
Sugarcane,71.22,Good,Phosphorus,Moderately Fertile,7,1,5,2
Maize,86.83,Excellent,None,Fertile,3,0,4,0
Soybean,86.95,Excellent,None,Fertile,6,0,4,0
Cotton,96.05,Excellent,None,Fertile,0,0,4,0
Wheat,80.32,Excellent,None,Fertile,9,0,4,0
Tomato,65.99,Good,Nitrogen,Moderately Fertile,8,1,0,2
Groundnut,81.21,Excellent,Phosphorus,Moderately Fertile,1,0,5,2
Wheat,73.76,Good,Phosphorus,Moderately Fertile,9,1,5,2
Potato,48.99625000000002,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,4,2,2,1
Sugarcane,76.57,Good,Phosphorus,Moderately Fertile,7,1,5,2
Rice,93.5,Excellent,None,Fertile,5,0,4,0
Sugarcane,85.91,Excellent,Potassium,Moderately Fertile,7,0,7,2
Maize,70.15,Good,"Nitrogen, Potassium",Infertile,3,1,3,1
Groundnut,48.99625000000002,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,1,2,2,1
Rice,78.4,Good,Phosphorus,Moderately Fertile,5,1,5,2
Potato,54.83,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,4,2,2,1
Cotton,82.34,Excellent,Phosphorus,Moderately Fertile,0,0,5,2
Sugarcane,65.92,Good,Potassium,Moderately Fertile,7,1,7,2
Rice,85.08,Excellent,None,Fertile,5,0,4,0
Soybean,65.37,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Rice,86.03,Excellent,None,Fertile,5,0,4,0
Maize,80.65,Excellent,None,Fertile,3,0,4,0
Maize,73.54,Good,Potassium,Moderately Fertile,3,1,7,2
Tomato,76.83,Good,Phosphorus,Moderately Fertile,8,1,5,2
Wheat,50.64,Moderate,"Nitrogen, Phosphorus",Infertile,9,2,1,1
Cotton,85.6,Excellent,None,Fertile,0,0,4,0
Rice,82.76,Excellent,Potassium,Moderately Fertile,5,0,7,2
Soybean,83.45,Excellent,None,Fertile,6,0,4,0
Groundnut,66.42,Good,Nitrogen,Moderately Fertile,1,1,0,2
Sugarcane,79.52,Good,Phosphorus,Moderately Fertile,7,1,5,2
Jute,90.48,Excellent,None,Fertile,2,0,4,0
Soybean,50.58,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,6,2,2,1
Wheat,84.9,Excellent,None,Fertile,9,0,4,0
Maize,69.93,Good,Phosphorus,Moderately Fertile,3,1,5,2
Maize,79.73,Good,None,Fertile,3,1,4,0
Rice,71.4,Good,Potassium,Moderately Fertile,5,1,7,2
Potato,65.57,Good,Potassium,Moderately Fertile,4,1,7,2
Jute,65.3,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Jute,86.4,Excellent,Phosphorus,Moderately Fertile,2,0,5,2
Cotton,74.53,Good,Phosphorus,Moderately Fertile,0,1,5,2
Tomato,69.37,Good,Nitrogen,Moderately Fertile,8,1,0,2
Soybean,82.08,Excellent,None,Fertile,6,0,4,0
Jute,75.91,Good,Potassium,Moderately Fertile,2,1,7,2
Soybean,90.42,Excellent,None,Fertile,6,0,4,0
Sugarcane,96.53,Excellent,None,Fertile,7,0,4,0
Jute,81.98,Excellent,None,Fertile,2,0,4,0
Cotton,75.09,Good,"Nitrogen, Potassium",Infertile,0,1,3,1
Groundnut,68.43,Good,Nitrogen,Moderately Fertile,1,1,0,2
Tomato,90.23,Excellent,None,Fertile,8,0,4,0
Maize,71.75,Good,Potassium,Moderately Fertile,3,1,7,2
Cotton,91.17,Excellent,None,Fertile,0,0,4,0
Tomato,90.88,Excellent,None,Fertile,8,0,4,0
Potato,63.17,Good,"Nitrogen, Potassium",Infertile,4,1,3,1
Rice,89.98,Excellent,None,Fertile,5,0,4,0
Wheat,95.35,Excellent,None,Fertile,9,0,4,0
Wheat,85.7,Excellent,None,Fertile,9,0,4,0
Tomato,83.83,Excellent,None,Fertile,8,0,4,0
Groundnut,70.46,Good,Nitrogen,Moderately Fertile,1,1,0,2
Maize,65.7,Good,Potassium,Moderately Fertile,3,1,7,2
Groundnut,62.83,Good,"Nitrogen, Phosphorus",Infertile,1,1,1,1
Groundnut,64.68,Good,Nitrogen,Moderately Fertile,1,1,0,2
Groundnut,74.06,Good,Potassium,Moderately Fertile,1,1,7,2
Rice,86.54,Excellent,None,Fertile,5,0,4,0
Soybean,67.55,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Sugarcane,78.49,Good,Phosphorus,Moderately Fertile,7,1,5,2
Sugarcane,75.75,Good,Phosphorus,Moderately Fertile,7,1,5,2
Cotton,78.71,Good,Phosphorus,Moderately Fertile,0,1,5,2
Cotton,80.73,Excellent,Phosphorus,Moderately Fertile,0,0,5,2
Tomato,82.17,Excellent,None,Fertile,8,0,4,0
Soybean,72.9,Good,Potassium,Moderately Fertile,6,1,7,2
Maize,59.61,Moderate,"Nitrogen, Phosphorus",Infertile,3,2,1,1
Groundnut,52.44,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Groundnut,66.69,Good,Nitrogen,Moderately Fertile,1,1,0,2
Wheat,80.35,Excellent,None,Fertile,9,0,4,0
Cotton,83.31,Excellent,Potassium,Moderately Fertile,0,0,7,2
Cotton,73.92,Good,Nitrogen,Moderately Fertile,0,1,0,2
Potato,81.55,Excellent,None,Fertile,4,0,4,0
Wheat,76.93,Good,Potassium,Moderately Fertile,9,1,7,2
Groundnut,79.47,Good,None,Fertile,1,1,4,0
Jute,77.97,Good,Potassium,Moderately Fertile,2,1,7,2
Jute,66.06,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Potato,66.77,Good,Nitrogen,Moderately Fertile,4,1,0,2
Sugarcane,74.86,Good,None,Fertile,7,1,4,0
Cotton,87.82,Excellent,None,Fertile,0,0,4,0
Soybean,69.34,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Sugarcane,69.36,Good,Potassium,Moderately Fertile,7,1,7,2
Jute,66.57,Good,"Nitrogen, Phosphorus",Infertile,2,1,1,1
Soybean,82.68,Excellent,None,Fertile,6,0,4,0
Soybean,75.93,Good,Phosphorus,Moderately Fertile,6,1,5,2
Rice,74.39,Good,Potassium,Moderately Fertile,5,1,7,2
Cotton,80.96,Excellent,Potassium,Moderately Fertile,0,0,7,2
Wheat,88.89,Excellent,None,Fertile,9,0,4,0
Soybean,69.28,Good,Nitrogen,Moderately Fertile,6,1,0,2
Potato,83.93,Excellent,None,Fertile,4,0,4,0
Jute,74.59,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Cotton,86.75,Excellent,Potassium,Moderately Fertile,0,0,7,2
Wheat,85.51,Excellent,None,Fertile,9,0,4,0
Cotton,95.05,Excellent,None,Fertile,0,0,4,0
Rice,88.07,Excellent,None,Fertile,5,0,4,0
Cotton,62.28,Good,"Nitrogen, Potassium",Infertile,0,1,3,1
Cotton,94.33,Excellent,None,Fertile,0,0,4,0
Groundnut,75.98,Good,Nitrogen,Moderately Fertile,1,1,0,2
Wheat,76.76,Good,Potassium,Moderately Fertile,9,1,7,2
Wheat,82.88,Excellent,Potassium,Moderately Fertile,9,0,7,2
Sugarcane,93.9,Excellent,None,Fertile,7,0,4,0
Groundnut,74.69,Good,None,Fertile,1,1,4,0
Wheat,75.11,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Sugarcane,96.7,Excellent,None,Fertile,7,0,4,0
Groundnut,69.84,Good,Potassium,Moderately Fertile,1,1,7,2
Sugarcane,55.87,Moderate,"Nitrogen, Phosphorus",Infertile,7,2,1,1
Potato,75.03,Good,Potassium,Moderately Fertile,4,1,7,2
Rice,64.31,Good,"Phosphorus, Potassium",Infertile,5,1,6,1
Maize,70.52,Good,Potassium,Moderately Fertile,3,1,7,2
Tomato,72.68,Good,Potassium,Moderately Fertile,8,1,7,2
Soybean,66.99,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Rice,76.9,Good,None,Fertile,5,1,4,0
Groundnut,75.87,Good,"Nitrogen, Phosphorus",Infertile,1,1,1,1
Cotton,80.28,Excellent,Phosphorus,Moderately Fertile,0,0,5,2
Jute,80.08,Excellent,None,Fertile,2,0,4,0
Cotton,69.95,Good,"Phosphorus, Potassium",Infertile,0,1,6,1
Maize,83.54,Excellent,None,Fertile,3,0,4,0
Rice,82.63,Excellent,Potassium,Moderately Fertile,5,0,7,2
Wheat,91.8,Excellent,None,Fertile,9,0,4,0
Sugarcane,87.6,Excellent,None,Fertile,7,0,4,0
Potato,63.31,Good,Nitrogen,Moderately Fertile,4,1,0,2
Jute,87.12,Excellent,None,Fertile,2,0,4,0
Groundnut,91.97,Excellent,None,Fertile,1,0,4,0
Wheat,85.98,Excellent,Phosphorus,Moderately Fertile,9,0,5,2
Groundnut,65.6,Good,Potassium,Moderately Fertile,1,1,7,2
Rice,85.06,Excellent,Potassium,Moderately Fertile,5,0,7,2
Sugarcane,77.69,Good,None,Fertile,7,1,4,0
Wheat,78.97,Good,Potassium,Moderately Fertile,9,1,7,2
Soybean,82.71,Excellent,Potassium,Moderately Fertile,6,0,7,2
Groundnut,61.76,Good,"Phosphorus, Potassium",Infertile,1,1,6,1
Rice,93.63,Excellent,None,Fertile,5,0,4,0
Tomato,81.13,Excellent,None,Fertile,8,0,4,0
Tomato,82.47,Excellent,None,Fertile,8,0,4,0
Maize,75.53,Good,Phosphorus,Moderately Fertile,3,1,5,2
Wheat,68.1,Good,Phosphorus,Moderately Fertile,9,1,5,2
Tomato,84.62,Excellent,None,Fertile,8,0,4,0
Potato,84.41,Excellent,None,Fertile,4,0,4,0
Potato,51.54,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,4,2,2,1
Groundnut,64.59,Good,"Phosphorus, Potassium",Infertile,1,1,6,1
Sugarcane,77.34,Good,None,Fertile,7,1,4,0
Cotton,77.1,Good,Potassium,Moderately Fertile,0,1,7,2
Sugarcane,84.32,Excellent,None,Fertile,7,0,4,0
Soybean,87.44,Excellent,None,Fertile,6,0,4,0
Wheat,83.6,Excellent,Potassium,Moderately Fertile,9,0,7,2
Rice,81.44,Excellent,None,Fertile,5,0,4,0
Potato,64.96,Good,Nitrogen,Moderately Fertile,4,1,0,2
Jute,81.59,Excellent,None,Fertile,2,0,4,0
Sugarcane,75.03,Good,"Nitrogen, Potassium",Infertile,7,1,3,1
Tomato,69.84,Good,Potassium,Moderately Fertile,8,1,7,2
Cotton,69.81,Good,Potassium,Moderately Fertile,0,1,7,2
Cotton,89.38,Excellent,None,Fertile,0,0,4,0
Wheat,90.79,Excellent,None,Fertile,9,0,4,0
Wheat,80.05,Excellent,Potassium,Moderately Fertile,9,0,7,2
Tomato,66.3,Good,Nitrogen,Moderately Fertile,8,1,0,2
Tomato,69.37,Good,Phosphorus,Moderately Fertile,8,1,5,2
Soybean,77.61,Good,None,Fertile,6,1,4,0
Sugarcane,70.87,Good,Potassium,Moderately Fertile,7,1,7,2
Groundnut,48.99625000000002,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,1,2,2,1
Tomato,79.34,Good,Phosphorus,Moderately Fertile,8,1,5,2
Jute,81.65,Excellent,None,Fertile,2,0,4,0
Potato,67.02,Good,Nitrogen,Moderately Fertile,4,1,0,2
Cotton,89.88,Excellent,None,Fertile,0,0,4,0
Tomato,64.39,Good,"Phosphorus, Potassium",Infertile,8,1,6,1
Maize,80.18,Excellent,Potassium,Moderately Fertile,3,0,7,2
Jute,73.54,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Soybean,67.56,Good,"Nitrogen, Potassium",Infertile,6,1,3,1
Groundnut,58.72,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Rice,85.88,Excellent,None,Fertile,5,0,4,0
Groundnut,48.99625000000002,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,1,2,2,1
Soybean,71.24,Good,Potassium,Moderately Fertile,6,1,7,2
Tomato,75.27,Good,Potassium,Moderately Fertile,8,1,7,2
Soybean,87.9,Excellent,None,Fertile,6,0,4,0
Rice,79.0,Good,None,Fertile,5,1,4,0
Maize,79.1,Good,None,Fertile,3,1,4,0
Tomato,89.51,Excellent,None,Fertile,8,0,4,0
Groundnut,82.19,Excellent,Potassium,Moderately Fertile,1,0,7,2
Cotton,71.04,Good,"Phosphorus, Potassium",Infertile,0,1,6,1
Wheat,82.53,Excellent,Potassium,Moderately Fertile,9,0,7,2
Maize,89.12,Excellent,None,Fertile,3,0,4,0
Maize,86.55,Excellent,None,Fertile,3,0,4,0
Soybean,84.24,Excellent,None,Fertile,6,0,4,0
Jute,88.97,Excellent,None,Fertile,2,0,4,0
Soybean,67.59,Good,Potassium,Moderately Fertile,6,1,7,2
Jute,66.2,Good,"Nitrogen, Phosphorus",Infertile,2,1,1,1
Maize,84.15,Excellent,None,Fertile,3,0,4,0
Sugarcane,88.04,Excellent,None,Fertile,7,0,4,0
Wheat,87.35,Excellent,None,Fertile,9,0,4,0
Tomato,60.92,Good,"Phosphorus, Potassium",Infertile,8,1,6,1
Soybean,78.68,Good,None,Fertile,6,1,4,0
Wheat,71.71,Good,"Nitrogen, Potassium",Infertile,9,1,3,1
Cotton,80.18,Excellent,Phosphorus,Moderately Fertile,0,0,5,2
Potato,84.88,Excellent,Potassium,Moderately Fertile,4,0,7,2
Groundnut,64.71,Good,Nitrogen,Moderately Fertile,1,1,0,2
Maize,76.54,Good,"Phosphorus, Potassium",Infertile,3,1,6,1
Rice,74.3,Good,None,Fertile,5,1,4,0
Tomato,82.15,Excellent,None,Fertile,8,0,4,0
Tomato,86.23,Excellent,Potassium,Moderately Fertile,8,0,7,2
Potato,54.35,Moderate,"Nitrogen, Phosphorus",Infertile,4,2,1,1
