Soil_Type,Crop_Recommended,Nitrogen,Phosphorus,Potassium,pH,Moisture,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Soil_Health_Score,Soil_Health_Class,Nutrient_Deficiencies,Soil_Fertility_Status
Loamy,Potato,137.65,4.74,35.07,7.11,37.93,0.6,0.95,37.76,74.31,60.48,Good,"Phosphorus, Potassium",Infertile
Alluvial,Sugarcane,121.89,5.56,119.49,6.82,34.43,0.85,0.39,20.24,84.0,73.87,Good,Phosphorus,Moderately Fertile
Silty,Tomato,71.07,42.79,132.1,7.22,29.74,0.64,0.95,33.46,53.25,79.49,Good,None,Fertile
Black,Soybean,102.73,72.53,124.06,7.24,35.55,1.63,1.49,26.65,59.89,94.49,Excellent,None,Fertile
Loamy,Maize,61.89,31.7,143.71,7.17,48.55,0.42,0.33,36.86,50.09,72.81,Good,None,Fertile
Sandy,Groundnut,10.23,80.46,12.99,5.92,9.11,0.24,0.13,19.73,44.78,51.79,Moderate,"Nitrogen, Potassium",Infertile
Silty,Jute,78.27,9.79,40.49,6.64,39.08,0.64,0.52,22.69,84.47,65.37,Good,"Phosphorus, Potassium",Infertile
Alluvial,Sugarcane,2.59,5.91,115.01,7.32,35.49,0.82,0.51,34.03,50.83,57.69,Moderate,"Nitrogen, Phosphorus",Infertile
Alluvial,Sugarcane,113.87,31.72,155.42,7.28,41.35,0.83,0.59,21.13,58.08,82.67,Excellent,None,Fertile
Loamy,Wheat,9.88,25.72,144.4,6.24,37.29,0.98,0.63,35.46,44.73,72.59,Good,Nitrogen,Moderately Fertile
Loamy,Groundnut,88.35,87.75,236.69,6.33,27.17,0.4,1.36,20.16,67.97,80.32,Excellent,None,Fertile
Sandy,Potato,13.53,15.2,271.31,6.53,8.52,0.29,0.28,21.04,56.2,60.14,Good,"Nitrogen, Phosphorus",Infertile
Silty,Tomato,109.52,18.98,25.7,6.43,39.22,0.76,1.39,32.82,52.36,68.76,Good,"Phosphorus, Potassium",Infertile
Silty,Tomato,135.22,77.77,178.12,6.42,26.5,0.72,0.3,26.03,54.54,86.1,Excellent,None,Fertile
Silty,Rice,53.59,78.94,278.9,6.66,33.22,0.57,0.66,36.46,87.34,79.8,Good,None,Fertile
Clayey,Rice,3.35,39.31,57.31,7.78,45.47,0.64,1.32,19.04,61.95,58.52,Moderate,"Nitrogen, Potassium",Infertile
Black,Soybean,102.8,6.59,232.2,8.31,44.53,0.88,0.63,34.46,70.28,69.98,Good,Phosphorus,Moderately Fertile
Black,Cotton,67.38,62.18,21.59,8.14,53.07,0.84,0.45,37.64,85.95,67.78,Good,Potassium,Moderately Fertile
Silty,Rice,74.58,75.64,182.9,7.2,40.57,0.79,0.35,25.45,42.23,84.26,Excellent,None,Fertile
Loamy,Maize,77.67,77.08,30.99,6.97,36.66,0.92,0.75,24.6,85.69,77.52,Good,Potassium,Moderately Fertile
Loamy,Maize,81.05,6.34,270.43,6.14,45.19,0.92,0.3,22.83,81.92,76.81,Good,Phosphorus,Moderately Fertile
Loamy,Potato,121.73,7.09,150.14,6.63,26.91,0.53,1.27,34.14,63.29,72.71,Good,Phosphorus,Moderately Fertile
Sandy,Groundnut,15.34,7.0,239.25,6.15,9.49,0.34,0.2,33.0,61.03,56.64,Moderate,"Nitrogen, Phosphorus",Infertile
Loamy,Soybean,97.77,71.19,49.64,7.26,34.32,1.0,0.7,29.8,70.27,79.45,Good,Potassium,Moderately Fertile
Sandy,Groundnut,97.35,39.39,136.4,6.41,8.86,0.43,0.39,27.64,48.37,79.8,Good,None,Fertile
Alluvial,Maize,138.72,50.07,159.13,6.45,27.08,0.57,1.17,18.73,92.61,83.75,Excellent,None,Fertile
Loamy,Soybean,73.32,6.44,121.65,6.78,42.68,1.18,0.58,27.63,71.23,78.95,Good,Phosphorus,Moderately Fertile
Black,Wheat,55.01,26.45,166.11,8.28,59.88,1.12,0.43,21.57,85.86,76.59,Good,None,Fertile
Black,Sugarcane,12.0,58.81,273.26,7.44,55.5,0.89,1.18,36.71,40.52,74.3,Good,Nitrogen,Moderately Fertile
Clayey,Rice,51.3,21.5,83.27,7.72,52.67,0.92,2.01,25.03,56.03,64.79,Good,"Phosphorus, Potassium",Infertile
Loamy,Soybean,57.83,60.18,128.53,6.29,37.64,0.9,1.35,21.26,46.44,82.85,Excellent,None,Fertile
Clayey,Rice,93.43,46.28,229.02,7.09,47.43,1.17,0.99,22.33,89.74,92.05,Excellent,None,Fertile
Sandy,Potato,13.59,45.76,185.25,7.17,11.21,0.33,0.14,30.31,80.63,66.58,Good,Nitrogen,Moderately Fertile
Loamy,Maize,106.91,44.18,92.52,6.33,34.55,1.16,0.67,32.3,50.56,87.87,Excellent,Potassium,Moderately Fertile
Loamy,Potato,54.08,47.42,136.27,7.47,41.13,0.58,0.3,25.2,83.01,74.78,Good,None,Fertile
Loamy,Wheat,62.89,11.85,236.3,7.08,47.31,1.2,1.46,34.82,81.05,80.36,Excellent,Phosphorus,Moderately Fertile
Alluvial,Jute,82.49,63.05,171.14,6.87,34.56,1.13,0.43,36.48,45.59,92.48,Excellent,None,Fertile
Silty,Rice,122.85,51.62,38.84,6.44,37.58,0.92,0.16,23.64,75.15,79.65,Good,Potassium,Moderately Fertile
Loamy,Groundnut,101.6,36.82,115.92,6.99,47.89,0.71,0.43,25.96,56.01,80.79,Excellent,None,Fertile
Silty,Jute,78.91,53.81,223.45,6.4,34.13,0.63,0.22,25.91,91.96,84.32,Excellent,None,Fertile
Loamy,Maize,95.62,65.46,141.01,6.9,39.96,0.5,1.11,28.48,61.91,81.03,Excellent,None,Fertile
Loamy,Soybean,67.73,45.17,217.35,7.33,25.34,1.13,0.48,30.81,62.88,88.14,Excellent,None,Fertile
Black,Soybean,14.26,79.43,198.43,8.48,61.39,1.73,1.7,21.42,49.99,78.44,Good,Nitrogen,Moderately Fertile
Loamy,Soybean,74.67,14.95,183.45,6.41,46.21,0.71,0.75,26.96,73.33,76.65,Good,Phosphorus,Moderately Fertile
Black,Sugarcane,63.74,43.57,183.49,7.27,49.98,1.22,1.71,18.16,79.56,88.01,Excellent,None,Fertile
Alluvial,Cotton,66.05,7.37,166.73,6.28,42.62,0.92,0.58,35.52,75.2,75.53,Good,Phosphorus,Moderately Fertile
Alluvial,Cotton,127.19,11.99,50.87,6.67,44.84,0.7,1.21,33.53,74.32,68.17,Good,"Phosphorus, Potassium",Infertile
Loamy,Groundnut,105.51,56.72,27.37,6.39,41.19,1.01,1.31,28.41,43.83,79.88,Good,Potassium,Moderately Fertile
Loamy,Tomato,8.54,38.24,141.53,7.3,38.88,0.59,0.72,20.01,61.3,68.08,Good,Nitrogen,Moderately Fertile
Black,Cotton,11.5,85.57,188.57,8.47,35.92,1.83,0.94,19.05,93.44,79.23,Good,Nitrogen,Moderately Fertile
Clayey,Wheat,11.87,25.25,174.5,6.99,74.09,1.34,0.65,28.67,51.45,79.11,Good,Nitrogen,Moderately Fertile
Clayey,Wheat,81.12,44.2,211.68,7.51,65.76,0.85,2.25,22.23,65.78,80.12,Excellent,None,Fertile
Clayey,Rice,90.34,60.88,11.46,6.09,54.55,1.08,2.45,29.94,43.09,72.44,Good,Potassium,Moderately Fertile
Sandy,Groundnut,24.8,29.74,142.08,5.79,12.39,0.33,0.14,32.93,70.48,63.13,Good,Nitrogen,Moderately Fertile
Silty,Jute,108.05,26.84,245.02,6.7,33.86,0.93,1.13,35.32,57.62,85.61,Excellent,None,Fertile
Loamy,Maize,76.91,26.92,268.13,6.16,41.81,0.82,0.22,26.2,88.21,81.59,Excellent,None,Fertile
Alluvial,Jute,95.87,24.87,152.0,7.42,48.3,0.53,0.32,33.66,85.48,74.69,Good,Phosphorus,Moderately Fertile
Silty,Tomato,106.15,25.39,30.97,6.53,43.97,0.74,0.2,23.86,41.77,71.53,Good,Potassium,Moderately Fertile
Alluvial,Cotton,9.18,81.14,35.07,7.24,32.98,0.79,0.21,29.36,48.95,62.95,Good,"Nitrogen, Potassium",Infertile
Alluvial,Rice,119.84,62.2,277.43,6.46,31.51,1.03,1.38,22.08,92.84,91.47,Excellent,None,Fertile
Alluvial,Rice,51.72,49.73,102.77,6.79,46.95,0.73,0.69,36.56,44.83,77.31,Good,None,Fertile
Black,Cotton,111.84,43.27,101.84,8.19,46.12,1.47,1.73,28.81,88.7,85.89,Excellent,None,Fertile
Sandy,Potato,16.0,46.9,60.59,6.88,21.85,0.21,0.18,26.84,42.59,58.49,Moderate,"Nitrogen, Potassium",Infertile
Clayey,Rice,63.23,79.88,83.03,6.73,54.17,1.02,2.1,23.88,78.86,79.0,Good,Potassium,Moderately Fertile
Black,Soybean,90.81,70.7,135.16,7.58,37.76,1.05,1.06,21.94,59.69,86.28,Excellent,None,Fertile
Black,Cotton,112.32,4.25,196.6,8.2,48.64,1.16,1.79,33.82,62.69,72.68,Good,Phosphorus,Moderately Fertile
Black,Soybean,73.24,23.67,76.86,7.26,48.93,1.53,1.4,28.06,80.7,83.63,Excellent,"Phosphorus, Potassium",Infertile
Loamy,Maize,111.87,43.75,262.11,6.25,42.03,0.49,1.14,27.29,41.7,81.42,Excellent,None,Fertile
Sandy,Groundnut,59.03,85.07,36.89,5.51,21.87,0.31,0.12,30.76,80.11,61.17,Good,Potassium,Moderately Fertile
Alluvial,Cotton,9.09,5.54,201.19,6.9,37.02,0.76,0.84,24.77,91.52,62.86,Good,"Nitrogen, Phosphorus",Infertile
Silty,Rice,123.4,78.78,35.72,6.28,25.33,0.71,1.19,22.18,54.96,75.08,Good,Potassium,Moderately Fertile
Black,Cotton,71.48,60.83,243.44,7.92,45.83,1.39,0.9,22.48,67.93,90.15,Excellent,None,Fertile
Loamy,Tomato,95.69,62.34,219.8,6.03,25.71,0.7,0.85,20.27,94.48,83.82,Excellent,None,Fertile
Alluvial,Maize,84.93,32.89,206.41,6.54,47.04,0.82,1.03,25.18,50.49,86.0,Excellent,None,Fertile
Alluvial,Cotton,117.15,26.11,232.99,6.61,49.76,0.61,1.28,19.67,54.88,80.49,Excellent,None,Fertile
Alluvial,Jute,96.47,85.51,149.54,7.25,29.64,0.93,0.11,26.66,64.75,87.21,Excellent,None,Fertile
Clayey,Sugarcane,129.13,49.47,37.08,7.31,58.52,0.62,0.62,20.32,89.49,71.75,Good,Potassium,Moderately Fertile
Loamy,Potato,92.23,69.41,279.96,6.86,25.14,0.99,0.87,32.21,77.29,90.2,Excellent,None,Fertile
Loamy,Wheat,131.91,47.85,74.52,6.78,26.33,1.01,1.24,25.23,89.82,84.22,Excellent,Potassium,Moderately Fertile
Loamy,Groundnut,100.49,55.77,101.63,7.12,25.07,0.68,0.2,34.3,40.18,79.43,Good,None,Fertile
Alluvial,Jute,85.86,6.24,202.5,6.21,39.09,0.52,1.06,33.65,49.26,70.46,Good,Phosphorus,Moderately Fertile
Loamy,Groundnut,130.3,23.89,33.13,6.11,30.99,0.41,0.74,26.68,70.41,63.62,Good,"Phosphorus, Potassium",Infertile
Black,Soybean,51.29,74.31,205.82,7.78,54.25,1.76,0.8,22.63,61.46,89.32,Excellent,None,Fertile
Loamy,Potato,72.75,51.03,202.84,7.24,43.09,0.66,0.27,24.34,75.68,81.59,Excellent,None,Fertile
Alluvial,Maize,99.24,64.31,43.26,6.32,31.18,0.98,0.45,19.2,83.13,80.45,Excellent,Potassium,Moderately Fertile
Sandy,Potato,30.93,5.85,114.81,5.84,19.58,0.33,0.16,28.31,49.3,54.01,Moderate,"Nitrogen, Phosphorus",Infertile
Clayey,Wheat,106.8,73.48,33.62,8.18,52.64,1.03,2.2,35.61,92.47,69.72,Good,Potassium,Moderately Fertile
Black,Sugarcane,10.44,34.82,198.37,8.31,49.77,1.37,0.61,28.15,88.48,75.96,Good,Nitrogen,Moderately Fertile
Sandy,Potato,51.17,71.57,195.69,6.33,13.23,0.31,0.39,35.94,53.84,74.01,Good,None,Fertile
Silty,Tomato,70.3,57.84,61.26,7.23,30.37,0.84,0.31,37.57,65.0,76.35,Good,Potassium,Moderately Fertile
Alluvial,Cotton,14.19,50.9,62.24,6.38,32.52,0.64,0.88,23.59,80.14,65.8,Good,"Nitrogen, Potassium",Infertile
Black,Soybean,3.84,49.43,278.19,7.97,49.13,1.59,1.74,25.75,72.66,79.02,Good,Nitrogen,Moderately Fertile
Loamy,Tomato,126.45,4.08,117.17,6.51,49.16,0.47,1.25,20.59,47.94,67.49,Good,Phosphorus,Moderately Fertile
Clayey,Wheat,126.62,36.62,261.82,6.99,66.45,1.02,1.94,28.85,69.46,86.28,Excellent,None,Fertile
Loamy,Potato,128.47,83.77,186.68,6.3,34.94,0.94,0.63,34.22,94.27,89.17,Excellent,None,Fertile
Loamy,Groundnut,107.51,78.67,250.9,6.6,26.4,1.03,1.26,20.13,85.51,92.17,Excellent,None,Fertile
Silty,Jute,4.72,89.76,37.14,6.15,30.25,0.73,1.14,27.47,71.25,62.34,Good,"Nitrogen, Potassium",Infertile
Loamy,Groundnut,124.05,75.74,101.07,7.05,34.47,0.91,0.26,23.27,68.68,83.57,Excellent,None,Fertile
Sandy,Potato,5.27,25.91,156.77,5.96,23.43,0.2,0.34,34.87,69.04,57.98,Moderate,Nitrogen,Moderately Fertile
Loamy,Groundnut,114.69,83.12,190.66,6.77,26.93,1.0,1.37,31.49,79.68,90.82,Excellent,None,Fertile
Loamy,Maize,96.43,47.05,277.21,6.31,27.11,1.03,0.25,29.79,58.01,90.72,Excellent,None,Fertile
Silty,Rice,109.37,70.78,78.19,7.09,47.83,0.97,1.05,21.55,59.92,82.33,Excellent,Potassium,Moderately Fertile
Alluvial,Rice,66.62,58.51,187.05,7.1,30.9,1.04,0.44,33.04,64.11,87.6,Excellent,None,Fertile
Loamy,Potato,5.99,30.88,260.41,7.21,30.24,0.93,0.87,36.6,64.32,72.08,Good,Nitrogen,Moderately Fertile
Clayey,Sugarcane,2.4,51.65,182.78,7.46,69.01,0.6,1.79,34.21,83.13,66.03,Good,Nitrogen,Moderately Fertile
Loamy,Groundnut,122.72,62.45,76.32,6.78,29.42,0.78,0.71,32.69,72.55,80.55,Excellent,Potassium,Moderately Fertile
Loamy,Potato,54.64,35.7,185.15,6.76,40.38,1.17,0.27,34.82,80.17,88.04,Excellent,None,Fertile
Loamy,Wheat,125.95,83.68,123.18,7.44,38.87,1.04,0.82,28.97,86.21,85.75,Excellent,None,Fertile
Alluvial,Sugarcane,117.45,38.28,200.47,7.29,29.56,0.73,0.4,21.69,61.03,83.14,Excellent,None,Fertile
Alluvial,Maize,97.41,32.22,205.11,6.52,32.0,0.59,0.13,26.23,57.4,81.84,Excellent,None,Fertile
Black,Cotton,7.19,54.77,63.62,7.44,63.6,1.89,0.56,22.01,89.65,75.99,Good,"Nitrogen, Potassium",Infertile
Black,Cotton,73.55,15.41,16.8,7.49,46.01,1.27,0.57,19.44,78.69,70.6,Good,"Phosphorus, Potassium",Infertile
Black,Sugarcane,73.03,18.35,206.4,8.0,64.56,1.8,0.42,20.63,64.41,84.62,Excellent,Phosphorus,Moderately Fertile
Loamy,Wheat,139.98,42.47,276.38,7.1,44.35,0.68,0.11,20.83,56.31,83.83,Excellent,None,Fertile
Black,Soybean,112.4,67.62,149.06,7.97,64.77,1.07,0.92,19.54,67.28,85.9,Excellent,None,Fertile
Alluvial,Jute,104.44,45.52,167.12,6.24,27.22,0.88,0.23,35.6,84.95,87.87,Excellent,None,Fertile
Sandy,Potato,49.53,81.3,215.65,6.05,16.42,0.21,0.23,21.51,55.12,70.67,Good,Nitrogen,Moderately Fertile
Black,Sugarcane,90.9,72.52,21.39,7.71,50.37,1.59,1.04,33.68,76.65,83.02,Excellent,Potassium,Moderately Fertile
Sandy,Groundnut,43.11,42.16,279.87,7.07,5.45,0.24,0.3,23.66,50.29,70.5,Good,Nitrogen,Moderately Fertile
Sandy,Potato,56.35,63.06,106.34,6.9,8.68,0.3,0.23,31.79,53.83,70.68,Good,None,Fertile
Alluvial,Cotton,133.73,34.52,240.83,6.61,35.22,0.46,1.09,31.61,86.93,80.79,Excellent,None,Fertile
Clayey,Sugarcane,135.51,54.16,111.72,6.97,65.96,1.15,2.16,19.72,60.66,84.95,Excellent,None,Fertile
Loamy,Wheat,99.1,36.79,49.35,6.26,27.56,0.88,1.03,19.32,81.76,77.95,Good,Potassium,Moderately Fertile
Loamy,Groundnut,110.65,30.41,44.0,7.41,28.79,0.6,0.66,31.68,74.39,68.33,Good,Potassium,Moderately Fertile
Clayey,Rice,2.53,5.72,25.37,6.2,51.21,0.76,1.76,24.78,93.42,48.69,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Silty,Jute,111.06,36.38,28.79,7.14,45.52,0.73,1.26,28.14,65.38,72.49,Good,Potassium,Moderately Fertile
Black,Cotton,64.51,26.9,27.55,7.36,61.56,1.56,0.43,24.2,57.18,78.37,Good,Potassium,Moderately Fertile
Alluvial,Cotton,77.36,62.2,108.86,6.1,39.29,1.02,1.4,27.02,41.1,85.4,Excellent,None,Fertile
Alluvial,Cotton,138.92,78.95,166.72,7.35,41.3,0.8,1.41,32.3,93.06,84.58,Excellent,None,Fertile
Black,Soybean,93.21,6.82,150.72,7.82,39.77,0.99,0.56,37.46,56.02,74.34,Good,Phosphorus,Moderately Fertile
Clayey,Rice,87.72,8.38,186.27,6.6,57.61,0.78,1.24,34.9,90.05,77.46,Good,Phosphorus,Moderately Fertile
Loamy,Wheat,122.85,81.14,42.41,7.41,41.7,1.11,1.43,34.98,43.97,79.89,Good,Potassium,Moderately Fertile
Silty,Tomato,117.84,15.91,160.87,6.45,33.12,0.74,1.11,20.45,56.13,78.55,Good,Phosphorus,Moderately Fertile
Loamy,Tomato,124.44,86.66,43.76,6.36,43.75,0.6,0.76,22.67,50.43,74.36,Good,Potassium,Moderately Fertile
Clayey,Sugarcane,81.91,43.14,33.91,7.09,50.82,1.4,2.38,22.25,74.01,80.28,Excellent,Potassium,Moderately Fertile
Clayey,Rice,82.0,71.74,183.81,6.13,44.01,1.16,1.3,25.26,50.55,91.98,Excellent,None,Fertile
Black,Sugarcane,10.55,44.49,256.06,8.21,50.65,1.66,1.65,30.43,87.85,79.47,Good,Nitrogen,Moderately Fertile
Loamy,Soybean,96.73,13.14,54.67,6.85,45.62,0.63,0.67,20.01,54.42,66.82,Good,"Phosphorus, Potassium",Infertile
Silty,Tomato,98.91,89.93,17.64,6.34,25.55,0.84,0.98,19.17,47.03,75.93,Good,Potassium,Moderately Fertile
Alluvial,Sugarcane,96.78,6.25,272.52,6.72,38.25,0.79,0.11,37.65,68.98,76.32,Good,Phosphorus,Moderately Fertile
Sandy,Tomato,38.7,45.26,145.7,6.54,18.55,0.33,0.35,37.09,47.61,72.93,Good,Nitrogen,Moderately Fertile
Loamy,Groundnut,95.47,29.22,126.13,7.31,32.18,0.59,0.58,20.12,89.72,75.57,Good,None,Fertile
Loamy,Potato,78.04,45.48,234.66,6.91,31.41,0.46,0.14,22.96,56.98,80.79,Excellent,None,Fertile
Loamy,Groundnut,99.84,2.62,177.42,7.38,43.25,0.54,0.84,19.8,55.52,67.64,Good,Phosphorus,Moderately Fertile
Black,Soybean,106.09,74.15,47.4,7.52,45.75,2.0,0.94,30.38,41.97,86.28,Excellent,Potassium,Moderately Fertile
Loamy,Tomato,50.64,31.25,256.44,6.99,48.18,0.97,1.41,30.87,93.99,81.41,Excellent,None,Fertile
Loamy,Potato,106.61,8.08,87.84,6.02,41.3,1.05,1.24,33.91,69.38,73.43,Good,"Phosphorus, Potassium",Infertile
Silty,Jute,112.33,21.38,20.03,7.01,37.13,0.81,0.39,30.19,50.24,68.69,Good,"Phosphorus, Potassium",Infertile
Sandy,Groundnut,26.8,81.45,169.81,6.41,5.2,0.11,0.07,33.2,77.79,67.02,Good,Nitrogen,Moderately Fertile
Loamy,Wheat,3.21,49.63,36.82,6.57,35.9,1.07,0.89,37.11,67.0,69.82,Good,"Nitrogen, Potassium",Infertile
Loamy,Groundnut,135.18,80.2,245.37,7.39,49.27,0.97,1.0,31.43,40.09,87.22,Excellent,None,Fertile
Loamy,Soybean,70.59,37.1,35.47,6.55,45.47,0.88,0.13,19.33,41.22,76.7,Good,Potassium,Moderately Fertile
Black,Soybean,111.8,75.31,229.84,7.91,38.55,1.48,1.73,19.46,80.75,91.74,Excellent,None,Fertile
Silty,Tomato,5.71,82.86,252.7,6.3,26.51,0.49,1.2,22.37,82.91,69.28,Good,Nitrogen,Moderately Fertile
Loamy,Wheat,114.8,38.41,20.99,7.14,48.19,0.46,1.26,27.67,79.34,67.97,Good,Potassium,Moderately Fertile
Loamy,Maize,83.25,14.56,225.17,7.44,38.24,1.04,0.91,32.11,69.01,79.65,Good,Phosphorus,Moderately Fertile
Clayey,Wheat,121.22,8.8,155.4,7.04,51.2,0.89,0.76,21.34,77.56,77.23,Good,Phosphorus,Moderately Fertile
Loamy,Soybean,61.02,23.01,218.92,6.02,39.01,0.97,1.05,26.8,70.0,79.44,Good,Phosphorus,Moderately Fertile
Loamy,Groundnut,11.47,38.2,11.86,6.39,46.24,1.14,1.19,22.98,81.39,68.65,Good,"Nitrogen, Potassium",Infertile
Alluvial,Jute,82.16,49.87,190.0,6.95,30.21,0.86,1.05,20.39,52.62,87.58,Excellent,None,Fertile
Alluvial,Maize,101.77,31.53,155.29,7.16,34.41,0.89,0.33,37.26,41.13,84.21,Excellent,None,Fertile
Black,Cotton,124.61,40.26,93.19,7.63,62.94,1.57,1.63,36.23,45.07,89.02,Excellent,Potassium,Moderately Fertile
Loamy,Groundnut,64.22,43.52,134.77,7.17,25.18,0.8,1.13,20.07,64.37,81.5,Excellent,None,Fertile
Alluvial,Cotton,57.99,29.57,257.47,6.86,47.64,1.0,0.31,27.24,89.07,83.22,Excellent,None,Fertile
Alluvial,Cotton,115.9,81.43,26.4,6.9,43.63,0.88,0.87,34.06,67.23,77.18,Good,Potassium,Moderately Fertile
Alluvial,Maize,10.28,48.61,258.43,6.47,37.38,0.86,1.26,33.81,60.16,77.06,Good,Nitrogen,Moderately Fertile
Alluvial,Maize,64.32,77.51,41.15,6.69,42.54,1.02,0.81,23.35,68.6,79.26,Good,Potassium,Moderately Fertile
Clayey,Rice,78.04,82.59,229.32,7.22,72.6,1.08,1.42,32.11,72.4,89.57,Excellent,None,Fertile
Black,Soybean,138.8,11.73,198.22,7.58,61.43,0.98,0.51,30.17,75.56,77.01,Good,Phosphorus,Moderately Fertile
Loamy,Groundnut,76.43,9.59,38.3,6.6,26.87,0.47,0.9,26.23,51.17,62.17,Good,"Phosphorus, Potassium",Infertile
Clayey,Rice,72.69,29.58,107.71,6.39,63.82,1.42,0.78,29.51,41.55,89.17,Excellent,None,Fertile
Sandy,Groundnut,15.27,78.18,66.97,6.78,23.72,0.36,0.39,31.84,67.52,61.93,Good,"Nitrogen, Potassium",Infertile
Alluvial,Cotton,9.03,89.14,38.19,7.08,46.18,0.73,1.34,25.41,84.36,63.0,Good,"Nitrogen, Potassium",Infertile
Loamy,Tomato,138.59,14.77,186.8,6.66,29.08,0.85,0.88,22.11,69.0,80.46,Excellent,Phosphorus,Moderately Fertile
Silty,Jute,9.13,75.64,31.89,6.64,44.04,0.86,0.41,31.24,45.23,66.82,Good,"Nitrogen, Potassium",Infertile
Black,Wheat,73.69,58.07,80.02,7.6,58.89,1.6,1.42,34.31,68.76,87.73,Excellent,Potassium,Moderately Fertile
Loamy,Tomato,6.22,51.47,158.72,6.92,32.33,0.47,0.7,30.57,53.46,68.94,Good,Nitrogen,Moderately Fertile
Alluvial,Maize,85.03,29.28,86.57,7.41,44.4,0.43,1.17,27.83,49.4,68.91,Good,Potassium,Moderately Fertile
Sandy,Groundnut,6.96,89.63,55.81,6.68,21.37,0.23,0.28,21.14,89.07,57.89,Moderate,"Nitrogen, Potassium",Infertile
Silty,Jute,130.29,3.43,211.4,7.1,45.47,0.8,0.21,26.9,81.46,73.64,Good,Phosphorus,Moderately Fertile
Silty,Rice,114.39,82.37,66.62,6.9,40.72,0.41,1.1,23.23,94.77,72.92,Good,Potassium,Moderately Fertile
Sandy,Tomato,34.63,40.93,105.06,6.62,9.3,0.37,0.12,36.95,67.95,69.51,Good,Nitrogen,Moderately Fertile
Silty,Tomato,127.01,9.32,132.21,7.22,27.66,1.08,0.57,32.52,45.45,78.09,Good,Phosphorus,Moderately Fertile
Loamy,Soybean,84.27,42.07,17.73,6.98,40.19,1.14,0.31,22.68,65.37,80.34,Excellent,Potassium,Moderately Fertile
Black,Wheat,111.17,35.3,115.68,7.49,37.01,0.88,0.42,20.64,71.65,80.6,Excellent,None,Fertile
Alluvial,Sugarcane,9.07,49.44,271.36,7.35,31.9,0.81,0.45,28.94,58.07,72.93,Good,Nitrogen,Moderately Fertile
Sandy,Groundnut,13.09,64.45,249.16,6.2,12.87,0.36,0.32,33.82,41.23,67.85,Good,Nitrogen,Moderately Fertile
Sandy,Potato,20.03,81.52,279.95,5.7,14.24,0.14,0.25,29.01,74.08,62.84,Good,Nitrogen,Moderately Fertile
Clayey,Wheat,113.96,52.11,222.49,7.3,53.41,0.89,2.48,33.04,76.14,80.45,Excellent,None,Fertile
Black,Soybean,80.18,48.9,30.37,7.24,46.28,1.35,1.76,35.98,55.74,82.11,Excellent,Potassium,Moderately Fertile
Loamy,Groundnut,69.36,85.24,94.81,6.86,49.81,0.71,0.44,37.8,63.03,78.85,Good,Potassium,Moderately Fertile
Sandy,Groundnut,9.0,26.07,38.59,7.03,16.62,0.36,0.33,25.4,86.54,52.47,Moderate,"Nitrogen, Potassium",Infertile
Alluvial,Cotton,82.55,72.78,17.89,7.09,36.23,0.52,1.05,31.84,80.15,69.47,Good,Potassium,Moderately Fertile
Sandy,Potato,19.78,87.74,232.54,7.04,8.39,0.23,0.19,35.63,91.12,66.6,Good,Nitrogen,Moderately Fertile
Alluvial,Sugarcane,50.8,31.4,118.01,6.96,34.34,0.44,1.28,24.45,67.41,69.96,Good,None,Fertile
Loamy,Potato,89.36,26.34,243.83,6.2,30.88,0.67,0.98,18.9,59.58,79.61,Good,None,Fertile
Clayey,Wheat,112.11,12.7,189.94,7.41,49.64,1.12,1.16,20.34,65.58,80.52,Excellent,Phosphorus,Moderately Fertile
Silty,Tomato,67.75,70.04,73.43,6.99,42.24,0.58,1.46,19.27,69.02,73.87,Good,Potassium,Moderately Fertile
Black,Soybean,111.22,28.52,167.53,7.59,43.55,0.99,1.79,25.73,92.89,80.98,Excellent,None,Fertile
Alluvial,Cotton,54.33,72.96,168.9,6.74,41.22,0.71,1.05,32.5,46.93,81.86,Excellent,None,Fertile
Alluvial,Rice,9.15,64.86,185.71,7.48,30.05,1.05,0.88,30.75,80.53,76.29,Good,Nitrogen,Moderately Fertile
Black,Soybean,56.02,35.04,193.43,8.16,50.56,1.19,0.81,22.18,71.47,81.38,Excellent,None,Fertile
Loamy,Groundnut,119.35,41.91,238.75,7.02,38.25,0.51,1.22,27.87,45.21,81.4,Excellent,None,Fertile
Loamy,Maize,13.0,8.03,194.33,7.03,46.61,1.04,0.6,26.78,87.55,68.36,Good,"Nitrogen, Phosphorus",Infertile
Sandy,Potato,41.58,80.33,74.57,5.66,23.14,0.32,0.29,32.75,41.4,62.53,Good,"Nitrogen, Potassium",Infertile
Alluvial,Cotton,85.57,15.3,267.22,6.61,46.23,0.96,0.75,27.01,91.16,82.72,Excellent,Phosphorus,Moderately Fertile
Alluvial,Rice,110.99,81.06,243.79,6.06,33.1,0.88,0.12,21.36,90.12,86.97,Excellent,None,Fertile
Loamy,Maize,134.38,79.59,90.74,7.22,42.74,0.88,0.6,26.91,58.83,81.3,Excellent,Potassium,Moderately Fertile
Loamy,Soybean,9.94,23.54,203.27,6.16,41.93,0.57,0.62,32.74,66.36,65.14,Good,"Nitrogen, Phosphorus",Infertile
